
r_pi_min	betta	e_grav	p_grav	a_grav	nu_grav
670900,000000	115,438748	1,1828	8604261,9961	21562100,7365	147,7194
671000,000000	115,434569	1,1828	8605651,9178	21562100,7365	147,7173
671100,000000	115,430391	1,1829	8607041,8715	21562100,7365	147,7152
671200,000000	115,426213	1,1829	8608431,8572	21562100,7365	147,7131
671300,000000	115,422035	1,1829	8609821,8749	21562100,7365	147,7110
671400,000000	115,417858	1,1829	8611211,9246	21562100,7365	147,7089
671500,000000	115,413682	1,1830	8612602,0064	21562100,7365	147,7068
671600,000000	115,409506	1,1830	8613992,1201	21562100,7365	147,7048
671700,000000	115,405330	1,1830	8615382,2659	21562100,7365	147,7027
671800,000000	115,401154	1,1831	8616772,4437	21562100,7365	147,7006
671900,000000	115,396980	1,1831	8618162,6536	21562100,7365	147,6985
672000,000000	115,392805	1,1831	8619552,8954	21562100,7365	147,6964
672100,000000	115,388631	1,1831	8620943,1693	21562100,7365	147,6943
672200,000000	115,384457	1,1832	8622333,4752	21562100,7365	147,6922
672300,000000	115,380284	1,1832	8623723,8131	21562100,7365	147,6901
672400,000000	115,376112	1,1832	8625114,1830	21562100,7365	147,6881
672500,000000	115,371939	1,1832	8626504,5850	21562100,7365	147,6860
672600,000000	115,367767	1,1833	8627895,0189	21562100,7365	147,6839
672700,000000	115,363596	1,1833	8629285,4849	21562100,7365	147,6818
672800,000000	115,359425	1,1833	8630675,9829	21562100,7365	147,6797
672900,000000	115,355254	1,1834	8632066,5130	21562100,7365	147,6776
673000,000000	115,351084	1,1834	8633457,0750	21562100,7365	147,6755
673100,000000	115,346915	1,1834	8634847,6691	21562100,7365	147,6735
673200,000000	115,342745	1,1834	8636238,2952	21562100,7365	147,6714
673300,000000	115,338576	1,1835	8637628,9533	21562100,7365	147,6693
673400,000000	115,334408	1,1835	8639019,6434	21562100,7365	147,6672
673500,000000	115,330240	1,1835	8640410,3656	21562100,7365	147,6651
673600,000000	115,326072	1,1835	8641801,1197	21562100,7365	147,6630
673700,000000	115,321905	1,1836	8643191,9059	21562100,7365	147,6610
673800,000000	115,317739	1,1836	8644582,7241	21562100,7365	147,6589
673900,000000	115,313572	1,1836	8645973,5743	21562100,7365	147,6568
674000,000000	115,309407	1,1837	8647364,4566	21562100,7365	147,6547
674100,000000	115,305241	1,1837	8648755,3709	21562100,7365	147,6526
674200,000000	115,301076	1,1837	8650146,3171	21562100,7365	147,6505
674300,000000	115,296912	1,1837	8651537,2954	21562100,7365	147,6485
674400,000000	115,292748	1,1838	8652928,3058	21562100,7365	147,6464
674500,000000	115,288584	1,1838	8654319,3481	21562100,7365	147,6443
674600,000000	115,284421	1,1838	8655710,4225	21562100,7365	147,6422
674700,000000	115,280258	1,1838	8657101,5289	21562100,7365	147,6401
674800,000000	115,276096	1,1839	8658492,6673	21562100,7365	147,6380
674900,000000	115,271934	1,1839	8659883,8377	21562100,7365	147,6360
675000,000000	115,267772	1,1839	8661275,0401	21562100,7365	147,6339
675100,000000	115,263611	1,1840	8662666,2746	21562100,7365	147,6318
675200,000000	115,259450	1,1840	8664057,5411	21562100,7365	147,6297
675300,000000	115,255290	1,1840	8665448,8396	21562100,7365	147,6276
675400,000000	115,251130	1,1840	8666840,1701	21562100,7365	147,6256
675500,000000	115,246971	1,1841	8668231,5326	21562100,7365	147,6235
675600,000000	115,242812	1,1841	8669622,9272	21562100,7365	147,6214
675700,000000	115,238653	1,1841	8671014,3538	21562100,7365	147,6193
675800,000000	115,234495	1,1841	8672405,8124	21562100,7365	147,6172
675900,000000	115,230338	1,1842	8673797,3030	21562100,7365	147,6152
676000,000000	115,226180	1,1842	8675188,8257	21562100,7365	147,6131
676100,000000	115,222024	1,1842	8676580,3803	21562100,7365	147,6110
676200,000000	115,217867	1,1843	8677971,9670	21562100,7365	147,6089
676300,000000	115,213711	1,1843	8679363,5857	21562100,7365	147,6069
676400,000000	115,209556	1,1843	8680755,2364	21562100,7365	147,6048
676500,000000	115,205401	1,1843	8682146,9192	21562100,7365	147,6027
676600,000000	115,201246	1,1844	8683538,6339	21562100,7365	147,6006
676700,000000	115,197092	1,1844	8684930,3807	21562100,7365	147,5985
676800,000000	115,192938	1,1844	8686322,1595	21562100,7365	147,5965
