
gamma	V_grav_X_inf	V_grav_Y_inf	V_grav_Z_inf	V_grav_inf	i_gip	ortX	ortY	ortZ	normort	V_grav_gel_X	V_grav_gel_Y	V_grav_gel_Z	V_grav_gel	dV_grav
0,0000	-4,9152	3,2150	0,1577	5,8754	3,5833	1,6627	1,0156	31,1127	31,1737	-17,7800	0,7593	0,4558	17,8020	9,9183
0,1000	-4,9147	3,2153	0,1670	5,8754	3,5847	1,6911	0,9691	31,1127	31,1737	-17,7795	0,7596	0,4650	17,8018	9,9181
0,2000	-4,9142	3,2156	0,1762	5,8754	3,5888	1,7194	0,9227	31,1126	31,1737	-17,7790	0,7599	0,4742	17,8015	9,9178
0,3000	-4,9137	3,2158	0,1855	5,8754	3,5958	1,7478	0,8763	31,1123	31,1737	-17,7784	0,7601	0,4835	17,8013	9,9176
0,4000	-4,9132	3,2161	0,1947	5,8754	3,6055	1,7761	0,8298	31,1120	31,1737	-17,7779	0,7604	0,4927	17,8010	9,9173
0,5000	-4,9127	3,2163	0,2039	5,8754	3,6179	1,8044	0,7834	31,1116	31,1737	-17,7774	0,7606	0,5020	17,8007	9,9171
0,6000	-4,9121	3,2166	0,2132	5,8754	3,6331	1,8328	0,7369	31,1110	31,1737	-17,7768	0,7609	0,5112	17,8005	9,9168
0,7000	-4,9116	3,2168	0,2224	5,8754	3,6509	1,8611	0,6905	31,1104	31,1737	-17,7763	0,7611	0,5205	17,8002	9,9165
0,8000	-4,9110	3,2170	0,2317	5,8754	3,6714	1,8894	0,6440	31,1097	31,1737	-17,7757	0,7613	0,5297	17,7999	9,9162
0,9000	-4,9104	3,2172	0,2409	5,8754	3,6944	1,9177	0,5976	31,1089	31,1737	-17,7752	0,7614	0,5389	17,7996	9,9160
1,0000	-4,9099	3,2173	0,2502	5,8754	3,7200	1,9460	0,5511	31,1080	31,1737	-17,7746	0,7616	0,5482	17,7994	9,9157
1,1000	-4,9093	3,2175	0,2594	5,8754	3,7481	1,9743	0,5047	31,1070	31,1737	-17,7740	0,7618	0,5574	17,7991	9,9154
1,2000	-4,9087	3,2176	0,2686	5,8754	3,7786	2,0026	0,4582	31,1059	31,1737	-17,7734	0,7619	0,5667	17,7988	9,9151
1,3000	-4,9081	3,2178	0,2779	5,8754	3,8115	2,0309	0,4117	31,1047	31,1737	-17,7728	0,7620	0,5759	17,7985	9,9148
1,4000	-4,9075	3,2179	0,2871	5,8754	3,8467	2,0592	0,3653	31,1035	31,1737	-17,7722	0,7622	0,5851	17,7982	9,9145
1,5000	-4,9069	3,2180	0,2964	5,8754	3,8842	2,0875	0,3188	31,1021	31,1737	-17,7716	0,7623	0,5944	17,7979	9,9142
1,6000	-4,9063	3,2181	0,3056	5,8754	3,9238	2,1158	0,2724	31,1006	31,1737	-17,7710	0,7624	0,6036	17,7976	9,9139
1,7000	-4,9056	3,2181	0,3148	5,8754	3,9656	2,1440	0,2259	31,0990	31,1737	-17,7704	0,7624	0,6129	17,7973	9,9136
1,8000	-4,9050	3,2182	0,3241	5,8754	4,0094	2,1723	0,1794	31,0974	31,1737	-17,7697	0,7625	0,6221	17,7969	9,9133
1,9000	-4,9043	3,2182	0,3333	5,8754	4,0553	2,2005	0,1330	31,0956	31,1737	-17,7691	0,7625	0,6313	17,7966	9,9129
2,0000	-4,9037	3,2183	0,3425	5,8754	4,1030	2,2288	0,0865	31,0938	31,1737	-17,7684	0,7626	0,6406	17,7963	9,9126
2,1000	-4,9030	3,2183	0,3518	5,8754	4,1526	2,2570	0,0400	31,0918	31,1737	-17,7677	0,7626	0,6498	17,7960	9,9123
2,2000	-4,9023	3,2183	0,3610	5,8754	4,2040	2,2853	-0,0064	31,0898	31,1737	-17,7671	0,7626	0,6590	17,7956	9,9120
2,3000	-4,9016	3,2183	0,3702	5,8754	4,2571	2,3135	-0,0529	31,0877	31,1737	-17,7664	0,7626	0,6683	17,7953	9,9116
2,4000	-4,9010	3,2183	0,3795	5,8754	4,3119	2,3417	-0,0994	31,0855	31,1737	-17,7657	0,7626	0,6775	17,7949	9,9113
2,5000	-4,9003	3,2182	0,3887	5,8754	4,3683	2,3699	-0,1458	31,0831	31,1737	-17,7650	0,7625	0,6867	17,7946	9,9109
2,6000	-4,8995	3,2182	0,3979	5,8754	4,4262	2,3981	-0,1923	31,0807	31,1737	-17,7643	0,7625	0,6960	17,7943	9,9106
2,7000	-4,8988	3,2181	0,4072	5,8754	4,4856	2,4263	-0,2388	31,0782	31,1737	-17,7636	0,7624	0,7052	17,7939	9,9102
2,8000	-4,8981	3,2180	0,4164	5,8754	4,5464	2,4545	-0,2852	31,0756	31,1737	-17,7628	0,7623	0,7144	17,7935	9,9099
2,9000	-4,8974	3,2179	0,4256	5,8754	4,6086	2,4827	-0,3317	31,0729	31,1737	-17,7621	0,7622	0,7237	17,7932	9,9095
3,0000	-4,8966	3,2178	0,4349	5,8754	4,6721	2,5109	-0,3781	31,0701	31,1737	-17,7614	0,7621	0,7329	17,7928	9,9091
3,1000	-4,8959	3,2177	0,4441	5,8754	4,7368	2,5390	-0,4246	31,0672	31,1737	-17,7606	0,7620	0,7421	17,7924	9,9088
3,2000	-4,8951	3,2176	0,4533	5,8754	4,8028	2,5672	-0,4711	31,0642	31,1737	-17,7599	0,7619	0,7514	17,7921	9,9084
3,3000	-4,8944	3,2174	0,4626	5,8754	4,8699	2,5953	-0,5175	31,0612	31,1737	-17,7591	0,7617	0,7606	17,7917	9,9080
3,4000	-4,8936	3,2173	0,4718	5,8754	4,9381	2,6235	-0,5640	31,0580	31,1737	-17,7583	0,7616	0,7698	17,7913	9,9076
3,5000	-4,8928	3,2171	0,4810	5,8754	5,0074	2,6516	-0,6104	31,0547	31,1737	-17,7575	0,7614	0,7790	17,7909	9,9072
3,6000	-4,8920	3,2169	0,4902	5,8754	5,0777	2,6797	-0,6569	31,0513	31,1737	-17,7567	0,7612	0,7883	17,7905	9,9068
3,7000	-4,8912	3,2167	0,4995	5,8754	5,1490	2,7079	-0,7033	31,0479	31,1737	-17,7559	0,7610	0,7975	17,7901	9,9064
3,8000	-4,8904	3,2165	0,5087	5,8754	5,2212	2,7360	-0,7498	31,0443	31,1737	-17,7551	0,7608	0,8067	17,7897	9,9060
3,9000	-4,8896	3,2163	0,5179	5,8754	5,2943	2,7641	-0,7962	31,0407	31,1737	-17,7543	0,7606	0,8159	17,7893	9,9056
4,0000	-4,8888	3,2160	0,5271	5,8754	5,3683	2,7922	-0,8427	31,0370	31,1737	-17,7535	0,7603	0,8252	17,7889	9,9052
4,1000	-4,8879	3,2158	0,5363	5,8754	5,4432	2,8202	-0,8891	31,0331	31,1737	-17,7527	0,7601	0,8344	17,7885	9,9048
4,2000	-4,8871	3,2155	0,5456	5,8754	5,5188	2,8483	-0,9356	31,0292	31,1737	-17,7518	0,7598	0,8436	17,7881	9,9044
4,3000	-4,8862	3,2152	0,5548	5,8754	5,5952	2,8764	-0,9820	31,0252	31,1737	-17,7510	0,7595	0,8528	17,7877	9,9040
4,4000	-4,8854	3,2149	0,5640	5,8754	5,6723	2,9044	-1,0284	31,0210	31,1737	-17,7501	0,7592	0,8620	17,7872	9,9036
4,5000	-4,8845	3,2146	0,5732	5,8754	5,7501	2,9325	-1,0749	31,0168	31,1737	-17,7492	0,7589	0,8712	17,7868	9,9031
4,6000	-4,8836	3,2143	0,5824	5,8754	5,8286	2,9605	-1,1213	31,0125	31,1737	-17,7484	0,7586	0,8804	17,7864	9,9027
4,7000	-4,8827	3,2139	0,5916	5,8754	5,9077	2,9886	-1,1677	31,0081	31,1737	-17,7475	0,7582	0,8897	17,7859	9,9023
4,8000	-4,8819	3,2136	0,6008	5,8754	5,9875	3,0166	-1,2141	31,0036	31,1737	-17,7466	0,7579	0,8989	17,7855	9,9018
4,9000	-4,8810	3,2132	0,6101	5,8754	6,0678	3,0446	-1,2605	30,9990	31,1737	-17,7457	0,7575	0,9081	17,7850	9,9014
5,0000	-4,8800	3,2128	0,6193	5,8754	6,1488	3,0726	-1,3070	30,9943	31,1737	-17,7448	0,7571	0,9173	17,7846	9,9009
5,1000	-4,8791	3,2124	0,6285	5,8754	6,2302	3,1006	-1,3534	30,9896	31,1737	-17,7439	0,7567	0,9265	17,7841	9,9005
5,2000	-4,8782	3,2120	0,6377	5,8754	6,3123	3,1286	-1,3998	30,9847	31,1737	-17,7429	0,7563	0,9357	17,7837	9,9000
5,3000	-4,8773	3,2116	0,6469	5,8754	6,3948	3,1566	-1,4462	30,9797	31,1737	-17,7420	0,7559	0,9449	17,7832	9,8995
5,4000	-4,8763	3,2112	0,6561	5,8754	6,4778	3,1845	-1,4926	30,9747	31,1737	-17,7411	0,7555	0,9541	17,7827	9,8991
5,5000	-4,8754	3,2107	0,6653	5,8754	6,5613	3,2125	-1,5389	30,9695	31,1737	-17,7401	0,7550	0,9633	17,7823	9,8986
5,6000	-4,8744	3,2103	0,6745	5,8754	6,6452	3,2404	-1,5853	30,9643	31,1737	-17,7391	0,7545	0,9725	17,7818	9,8981
5,7000	-4,8735	3,2098	0,6837	5,8754	6,7296	3,2684	-1,6317	30,9589	31,1737	-17,7382	0,7541	0,9817	17,7813	9,8976
5,8000	-4,8725	3,2093	0,6929	5,8754	6,8144	3,2963	-1,6781	30,9535	31,1737	-17,7372	0,7536	0,9909	17,7808	9,8972
5,9000	-4,8715	3,2088	0,7021	5,8754	6,8996	3,3242	-1,7245	30,9479	31,1737	-17,7362	0,7531	1,0001	17,7804	9,8967
6,0000	-4,8705	3,2083	0,7113	5,8754	6,9852	3,3521	-1,7708	30,9423	31,1737	-17,7352	0,7526	1,0093	17,7799	9,8962
6,1000	-4,8695	3,2077	0,7204	5,8754	7,0712	3,3800	-1,8172	30,9366	31,1737	-17,7342	0,7520	1,0185	17,7794	9,8957
6,2000	-4,8685	3,2072	0,7296	5,8754	7,1575	3,4079	-1,8635	30,9308	31,1737	-17,7332	0,7515	1,0277	17,7789	9,8952
6,3000	-4,8675	3,2066	0,7388	5,8754	7,2442	3,4358	-1,9099	30,9249	31,1737	-17,7322	0,7509	1,0369	17,7784	9,8947
6,4000	-4,8665	3,2061	0,7480	5,8754	7,3312	3,4636	-1,9562	30,9188	31,1737	-17,7312	0,7503	1,0460	17,7779	9,8942
6,5000	-4,8654	3,2055	0,7572	5,8754	7,4185	3,4915	-2,0026	30,9127	31,1737	-17,7301	0,7498	1,0552	17,7773	9,8937
6,6000	-4,8644	3,2049	0,7664	5,8754	7,5062	3,5193	-2,0489	30,9066	31,1737	-17,7291	0,7492	1,0644	17,7768	9,8931
6,7000	-4,8633	3,2042	0,7756	5,8754	7,5942	3,5472	-2,0952	30,9003	31,1737	-17,7281	0,7485	1,0736	17,7763	9,8926
6,8000	-4,8623	3,2036	0,7847	5,8754	7,6824	3,5750	-2,1415	30,8939	31,1737	-17,7270	0,7479	1,0828	17,7758	9,8921
6,9000	-4,8612	3,2030	0,7939	5,8754	7,7710	3,6028	-2,1879	30,8874	31,1737	-17,7259	0,7473	1,0919	17,7752	9,8916
7,0000	-4,8601	3,2023	0,8031	5,8754	7,8598	3,6306	-2,2342	30,8808	31,1737	-17,7249	0,7466	1,1011	17,7747	9,8910
7,1000	-4,8590	3,2016	0,8123	5,8754	7,9488	3,6584	-2,2805	30,8742	31,1737	-17,7238	0,7459	1,1103	17,7742	9,8905
7,2000	-4,8580	3,2010	0,8214	5,8754	8,0382	3,6862	-2,3268	30,8674	31,1737	-17,7227	0,7453	1,1195	17,7736	9,8900
7,3000	-4,8569	3,2003	0,8306	5,8754	8,1277	3,7140	-2,3730	30,8606	31,1737	-17,7216	0,7446	1,1286	17,7731	9,8894
7,4000	-4,8557	3,1996	0,8398	5,8754	8,2176	3,7417	-2,4193	30,8536	31,1737	-17,7205	0,7438	1,1378	17,7725	9,8889
7,5000	-4,8546	3,1988	0,8489	5,8754	8,3076	3,7695	-2,4656	30,8466	31,1737	-17,7194	0,7431	1,1470	17,7720	9,8883
7,6000	-4,8535	3,1981	0,8581	5,8754	8,3979	3,7972	-2,5119	30,8394	31,1737	-17,7182	0,7424	1,1561	17,7714	9,8878
7,7000	-4,8524	3,1973	0,8672	5,8754	8,4884	3,8249	-2,5581	30,8322	31,1737	-17,7171	0,7416	1,1653	17,7709	9,8872
7,8000	-4,8512	3,1966	0,8764	5,8754	8,5791	3,8526	-2,6044	30,8249	31,1737	-17,7160	0,7409	1,1744	17,7703	9,8866
7,9000	-4,8501	3,1958	0,8856	5,8754	8,6700	3,8803	-2,6506	30,8175	31,1737	-17,7148	0,7401	1,1836	17,7697	9,8861
8,0000	-4,8489	3,1950	0,8947	5,8754	8,7611	3,9080	-2,6968	30,8100	31,1737	-17,7137	0,7393	1,1927	17,7692	9,8855
8,1000	-4,8478	3,1942	0,9039	5,8754	8,8524	3,9357	-2,7430	30,8024	31,1737	-17,7125	0,7385	1,2019	17,7686	9,8849
8,2000	-4,8466	3,1934	0,9130	5,8754	8,9438	3,9633	-2,7893	30,7947	31,1737	-17,7113	0,7377	1,2110	17,7680	9,8843
8,3000	-4,8454	3,1925	0,9222	5,8754	9,0355	3,9910	-2,8355	30,7869	31,1737	-17,7101	0,7368	1,2202	17,7674	9,8837
8,4000	-4,8442	3,1917	0,9313	5,8754	9,1273	4,0186	-2,8817	30,7790	31,1737	-17,7090	0,7360	1,2293	17,7668	9,8831
8,5000	-4,8430	3,1908	0,9404	5,8754	9,2193	4,0463	-2,9279	30,7710	31,1737	-17,7078	0,7351	1,2385	17,7662	9,8826
8,6000	-4,8418	3,1899	0,9496	5,8754	9,3115	4,0739	-2,9740	30,7629	31,1737	-17,7065	0,7342	1,2476	17,7656	9,8820
8,7000	-4,8406	3,1890	0,9587	5,8754	9,4038	4,1015	-3,0202	30,7548	31,1737	-17,7053	0,7333	1,2567	17,7650	9,8814
8,8000	-4,8394	3,1881	0,9679	5,8754	9,4962	4,1291	-3,0664	30,7465	31,1737	-17,7041	0,7324	1,2659	17,7644	9,8807
8,9000	-4,8382	3,1872	0,9770	5,8754	9,5889	4,1566	-3,1125	30,7381	31,1737	-17,7029	0,7315	1,2750	17,7638	9,8801
9,0000	-4,8369	3,1863	0,9861	5,8754	9,6816	4,1842	-3,1587	30,7297	31,1737	-17,7016	0,7306	1,2841	17,7632	9,8795
9,1000	-4,8357	3,1854	0,9952	5,8754	9,7745	4,2118	-3,2048	30,7212	31,1737	-17,7004	0,7296	1,2933	17,7626	9,8789
9,2000	-4,8344	3,1844	1,0044	5,8754	9,8676	4,2393	-3,2509	30,7125	31,1737	-17,6991	0,7287	1,3024	17,7619	9,8783
9,3000	-4,8331	3,1834	1,0135	5,8754	9,9608	4,2668	-3,2970	30,7038	31,1737	-17,6979	0,7277	1,3115	17,7613	9,8776
9,4000	-4,8319	3,1824	1,0226	5,8754	10,0541	4,2943	-3,3431	30,6950	31,1737	-17,6966	0,7267	1,3206	17,7607	9,8770
9,5000	-4,8306	3,1814	1,0317	5,8754	10,1475	4,3218	-3,3892	30,6860	31,1737	-17,6953	0,7257	1,3298	17,7601	9,8764
9,6000	-4,8293	3,1804	1,0408	5,8754	10,2411	4,3493	-3,4353	30,6770	31,1737	-17,6940	0,7247	1,3389	17,7594	9,8757
9,7000	-4,8280	3,1794	1,0500	5,8754	10,3347	4,3768	-3,4814	30,6679	31,1737	-17,6927	0,7237	1,3480	17,7588	9,8751
9,8000	-4,8267	3,1784	1,0591	5,8754	10,4285	4,4042	-3,5274	30,6587	31,1737	-17,6914	0,7226	1,3571	17,7581	9,8744
9,9000	-4,8254	3,1773	1,0682	5,8754	10,5224	4,4317	-3,5735	30,6495	31,1737	-17,6901	0,7216	1,3662	17,7575	9,8738
10,0000	-4,8241	3,1762	1,0773	5,8754	10,6165	4,4591	-3,6195	30,6401	31,1737	-17,6888	0,7205	1,3753	17,7568	9,8731
10,1000	-4,8227	3,1751	1,0864	5,8754	10,7106	4,4865	-3,6656	30,6306	31,1737	-17,6875	0,7194	1,3844	17,7562	9,8725
10,2000	-4,8214	3,1741	1,0955	5,8754	10,8048	4,5140	-3,7116	30,6210	31,1737	-17,6861	0,7183	1,3935	17,7555	9,8718
10,3000	-4,8201	3,1729	1,1046	5,8754	10,8991	4,5413	-3,7576	30,6114	31,1737	-17,6848	0,7172	1,4026	17,7548	9,8711
10,4000	-4,8187	3,1718	1,1137	5,8754	10,9936	4,5687	-3,8036	30,6016	31,1737	-17,6834	0,7161	1,4117	17,7541	9,8705
10,5000	-4,8174	3,1707	1,1227	5,8754	11,0881	4,5961	-3,8496	30,5918	31,1737	-17,6821	0,7150	1,4208	17,7535	9,8698
10,6000	-4,8160	3,1695	1,1318	5,8754	11,1827	4,6234	-3,8955	30,5818	31,1737	-17,6807	0,7138	1,4299	17,7528	9,8691
10,7000	-4,8146	3,1684	1,1409	5,8754	11,2774	4,6508	-3,9415	30,5718	31,1737	-17,6793	0,7127	1,4389	17,7521	9,8684
10,8000	-4,8132	3,1672	1,1500	5,8754	11,3722	4,6781	-3,9874	30,5617	31,1737	-17,6779	0,7115	1,4480	17,7514	9,8677
10,9000	-4,8118	3,1660	1,1591	5,8754	11,4671	4,7054	-4,0334	30,5514	31,1737	-17,6766	0,7103	1,4571	17,7507	9,8671
11,0000	-4,8104	3,1648	1,1681	5,8754	11,5621	4,7327	-4,0793	30,5411	31,1737	-17,6752	0,7091	1,4662	17,7500	9,8664
11,1000	-4,8090	3,1636	1,1772	5,8754	11,6571	4,7600	-4,1252	30,5307	31,1737	-17,6737	0,7079	1,4752	17,7493	9,8657
11,2000	-4,8076	3,1623	1,1863	5,8754	11,7523	4,7872	-4,1711	30,5202	31,1737	-17,6723	0,7066	1,4843	17,7486	9,8649
11,3000	-4,8062	3,1611	1,1953	5,8754	11,8475	4,8145	-4,2170	30,5096	31,1737	-17,6709	0,7054	1,4934	17,7479	9,8642
11,4000	-4,8047	3,1598	1,2044	5,8754	11,9428	4,8417	-4,2629	30,4989	31,1737	-17,6695	0,7041	1,5024	17,7472	9,8635
11,5000	-4,8033	3,1586	1,2135	5,8754	12,0381	4,8689	-4,3087	30,4881	31,1737	-17,6680	0,7029	1,5115	17,7465	9,8628
