
gamma	ort_gel_X	ort_gel_Y	ort_gel_Z	normort_gel	vnesh_ort_X	vnesh_ort_Y	vnesh_ort_Z	i_gelio	Omega_gelio	p_gelio	e_gelio	a_gelio	r_pi_gelio	r_a_gelio
0,0000	343152229,4372	66278330,2426	13276434916,5492	13281034235,4425	0,0258	0,0050	0,9997	1,5079	100,9318	8,8844	0,8654	35,3910	4,7626	66,0193
0,1000	350125053,8914	67961711,7440	13276005409,3173	13280795381,8982	0,0264	0,0051	0,9996	1,5389	100,9849	8,8840	0,8654	35,3786	4,7626	65,9947
0,2000	357097870,0692	69645096,0358	13275572058,6650	13280556570,1524	0,0269	0,0052	0,9996	1,5698	101,0359	8,8837	0,8653	35,3661	4,7625	65,9696
0,3000	364070656,7302	71328477,9904	13275134865,9124	13280317801,2813	0,0274	0,0054	0,9996	1,6008	101,0849	8,8834	0,8653	35,3533	4,7625	65,9441
0,4000	371043392,6341	73011852,4797	13274693832,3913	13280079076,3289	0,0279	0,0055	0,9996	1,6318	101,1321	8,8831	0,8652	35,3403	4,7624	65,9183
0,5000	378016056,5408	74695214,3759	13274248959,4451	13279840396,3068	0,0285	0,0056	0,9996	1,6627	101,1775	8,8828	0,8652	35,3272	4,7624	65,8920
0,6000	384988627,2102	76378558,5513	13273800248,4290	13279601762,1946	0,0290	0,0058	0,9996	1,6937	101,2213	8,8824	0,8651	35,3138	4,7623	65,8653
0,7000	391961083,4028	78061879,8780	13273347700,7099	13279363174,9392	0,0295	0,0059	0,9995	1,7246	101,2635	8,8821	0,8651	35,3003	4,7623	65,8382
0,8000	398933403,8793	79745173,2284	13272891317,6662	13279124635,4556	0,0300	0,0060	0,9995	1,7556	101,3042	8,8818	0,8650	35,2865	4,7623	65,8108
0,9000	405905567,4006	81428433,4748	13272431100,6882	13278886144,6260	0,0306	0,0061	0,9995	1,7866	101,3435	8,8815	0,8650	35,2726	4,7622	65,7829
1,0000	412877552,7285	83111655,4899	13271967051,1779	13278647703,3008	0,0311	0,0063	0,9995	1,8176	101,3815	8,8812	0,8649	35,2584	4,7622	65,7546
