	IST       	p       	i       	omega      	e       	w       	S       	T       	W       	
              0	        9316.77	       0.911062	        0.15708	       0.414174	              0	             -0	  -5.20988e-009	              0
            0.1	        9316.77	       0.911062	        0.15708	       0.414173	  -5.69785e-009	  -1.52487e-010	  -5.20765e-009	              0
            0.2	        9316.77	       0.911062	        0.15708	       0.414173	  -1.72431e-008	  -3.04396e-010	  -5.20098e-009	              0
            0.3	        9316.77	       0.911062	        0.15708	       0.414173	  -3.49383e-008	  -4.55145e-010	  -5.18997e-009	              0
            0.4	        9316.76	       0.911062	        0.15708	       0.414173	  -5.92459e-008	  -6.04147e-010	  -5.17474e-009	              0
            0.5	        9316.76	       0.911062	        0.15708	       0.414173	  -9.07983e-008	  -7.50806e-010	   -5.1555e-009	              0
            0.6	        9316.76	       0.911062	        0.15708	       0.414173	  -1.30412e-007	  -8.94515e-010	  -5.13252e-009	              0
            0.7	        9316.76	       0.911062	        0.15708	       0.414173	  -1.79103e-007	  -1.03465e-009	  -5.10611e-009	              0
            0.8	        9316.76	       0.911062	        0.15708	       0.414173	   -2.3811e-007	  -1.17056e-009	  -5.07668e-009	              0
            0.9	        9316.76	       0.911062	        0.15708	       0.414173	   -3.0891e-007	  -1.30157e-009	  -5.04468e-009	              0
              1	        9316.76	       0.911062	        0.15708	       0.414172	  -3.93248e-007	  -1.42696e-009	  -5.01066e-009	              0
            1.1	        9316.76	       0.911062	        0.15708	       0.414172	  -4.93155e-007	  -1.54598e-009	  -4.97522e-009	              0
            1.2	        9316.76	       0.911062	        0.15708	       0.414172	  -6.10968e-007	  -1.65781e-009	  -4.93909e-009	              0
            1.3	        9316.75	       0.911062	        0.15708	       0.414172	  -7.49335e-007	  -1.76154e-009	  -4.90305e-009	              0
            1.4	        9316.75	       0.911062	        0.15708	       0.414172	  -9.11216e-007	  -1.85619e-009	    -4.868e-009	              0
            1.5	        9316.75	       0.911062	        0.15708	       0.414172	  -1.09985e-006	  -1.94063e-009	  -4.83496e-009	              0
            1.6	        9316.75	       0.911062	        0.15708	       0.414172	  -1.31866e-006	  -2.01361e-009	  -4.80503e-009	              0
            1.7	        9316.75	       0.911062	        0.15708	       0.414172	  -1.57119e-006	  -2.07366e-009	  -4.77942e-009	              0
            1.8	        9316.74	       0.911062	        0.15708	       0.414172	   -1.8608e-006	  -2.11909e-009	  -4.75945e-009	              0
            1.9	        9316.74	       0.911062	        0.15708	       0.414172	  -2.19041e-006	   -2.1479e-009	  -4.74651e-009	              0
              2	        9316.74	       0.911062	        0.15708	       0.414172	  -2.56205e-006	  -2.15778e-009	  -4.74203e-009	              0
            2.1	        9316.73	       0.911062	        0.15708	       0.414172	  -2.97615e-006	  -2.14598e-009	  -4.74739e-009	              0
            2.2	        9316.73	       0.911062	        0.15708	       0.414172	  -3.43083e-006	  -2.10931e-009	  -4.76379e-009	              0
            2.3	        9316.72	       0.911062	        0.15708	       0.414172	  -3.92088e-006	  -2.04413e-009	  -4.79212e-009	              0
            2.4	        9316.72	       0.911062	        0.15708	       0.414172	  -4.43676e-006	  -1.94641e-009	  -4.83264e-009	              0
            2.5	        9316.71	       0.911062	        0.15708	       0.414172	  -4.96368e-006	  -1.81199e-009	  -4.88463e-009	              0
            2.6	         9316.7	       0.911062	        0.15708	       0.414173	  -5.48114e-006	  -1.63696e-009	  -4.94603e-009	              0
        2.70001	         9316.7	       0.911062	        0.15708	       0.414173	  -5.96326e-006	  -1.41849e-009	  -5.01306e-009	              0
        2.80001	        9316.69	       0.911062	        0.15708	       0.414174	  -6.38041e-006	  -1.15589e-009	  -5.08004e-009	              0
        2.90001	        9316.68	       0.911062	        0.15708	       0.414174	   -6.7023e-006	  -8.51864e-010	  -5.13977e-009	              0
        3.00001	        9316.67	       0.911062	        0.15708	       0.414175	  -6.90247e-006	  -5.13604e-010	  -5.18451e-009	              0
        3.10001	        9316.66	       0.911062	        0.15708	       0.414176	  -6.96298e-006	  -1.52972e-010	  -5.20764e-009	              0
        3.20001	        9316.65	       0.911062	        0.15708	       0.414176	   -6.8782e-006	   2.14598e-010	  -5.20546e-009	              0
        3.30001	        9316.64	       0.911062	        0.15708	       0.414177	  -6.65601e-006	   5.72476e-010	  -5.17834e-009	              0
        3.40001	        9316.63	       0.911062	        0.15708	       0.414177	  -6.31607e-006	   9.05688e-010	  -5.13056e-009	              0
        3.50001	        9316.62	       0.911062	        0.15708	       0.414178	  -5.88584e-006	   1.20312e-009	  -5.06906e-009	              0
        3.60001	        9316.61	       0.911062	        0.15708	       0.414178	  -5.39577e-006	   1.45838e-009	   -5.0016e-009	              0
        3.70001	         9316.6	       0.911062	        0.15708	       0.414179	  -4.87505e-006	   1.66942e-009	  -4.93517e-009	              0
            3.8	         9316.6	       0.911062	        0.15708	       0.414179	  -4.34871e-006	   1.83739e-009	  -4.87513e-009	              0
            3.9	        9316.59	       0.911062	        0.15708	       0.414179	   -3.8363e-006	   1.96535e-009	  -4.82497e-009	              0
              4	        9316.58	       0.911062	        0.15708	       0.414179	  -3.35167e-006	    2.0573e-009	  -4.78648e-009	              0
            4.1	        9316.58	       0.911062	        0.15708	       0.414179	  -2.90356e-006	   2.11741e-009	   -4.7602e-009	              0
            4.2	        9316.58	       0.911062	        0.15708	       0.414179	  -2.49655e-006	   2.14965e-009	  -4.74572e-009	              0
            4.3	        9316.57	       0.911062	        0.15708	       0.414179	  -2.13208e-006	    2.1576e-009	  -4.74212e-009	              0
            4.4	        9316.57	       0.911062	        0.15708	       0.414179	  -1.80937e-006	   2.14435e-009	  -4.74812e-009	              0
            4.5	        9316.57	       0.911062	        0.15708	       0.414179	  -1.52623e-006	   2.11258e-009	  -4.76234e-009	              0
            4.6	        9316.57	       0.911062	        0.15708	       0.414179	  -1.27963e-006	   2.06457e-009	  -4.78335e-009	              0
            4.7	        9316.56	       0.911062	        0.15708	       0.414179	  -1.06615e-006	   2.00223e-009	  -4.80978e-009	              0
            4.8	        9316.56	       0.911062	        0.15708	       0.414179	   -8.8226e-007	   1.92723e-009	  -4.84032e-009	              0
            4.9	        9316.56	       0.911062	        0.15708	       0.414179	  -7.24559e-007	   1.84098e-009	  -4.87378e-009	              0
              5	        9316.56	       0.911062	        0.15708	       0.414179	  -5.89854e-007	   1.74473e-009	  -4.90905e-009	              0
            5.1	        9316.56	       0.911062	        0.15708	       0.414179	  -4.75235e-007	   1.63956e-009	  -4.94517e-009	              0
            5.2	        9316.56	       0.911062	        0.15708	       0.414179	  -3.78105e-007	   1.52647e-009	  -4.98124e-009	              0
            5.3	        9316.56	       0.911062	        0.15708	       0.414179	  -2.96182e-007	   1.40632e-009	  -5.01649e-009	              0
            5.4	        9316.55	       0.911062	        0.15708	       0.414178	  -2.27483e-007	   1.27992e-009	  -5.05022e-009	              0
            5.5	        9316.55	       0.911062	        0.15708	       0.414178	   -1.7031e-007	   1.14804e-009	  -5.08182e-009	              0
            5.6	        9316.55	       0.911062	        0.15708	       0.414178	  -1.23228e-007	   1.01137e-009	  -5.11077e-009	              0
            5.7	        9316.55	       0.911062	        0.15708	       0.414178	  -8.50375e-008	   8.70591e-010	  -5.13663e-009	              0
            5.8	        9316.55	       0.911062	        0.15708	       0.414178	  -5.47567e-008	   7.26342e-010	    -5.159e-009	              0
            5.9	        9316.55	       0.911062	        0.15708	       0.414178	  -3.16017e-008	   5.79245e-010	  -5.17758e-009	              0
              6	        9316.55	       0.911062	        0.15708	       0.414178	  -1.49693e-008	   4.29906e-010	  -5.19212e-009	              0
            6.1	        9316.55	       0.911062	        0.15708	       0.414178	  -4.42475e-009	    2.7892e-010	  -5.20241e-009	              0
            6.2	        9316.55	       0.911062	        0.15708	       0.414177	   3.08412e-010	   1.26873e-010	  -5.20834e-009	              0
            6.3	        9316.55	       0.911062	        0.15708	       0.414177	  -6.45558e-010	  -2.56562e-011	  -5.20982e-009	              0
            6.4	        9316.55	       0.911062	        0.15708	       0.414177	  -7.31171e-009	  -1.78088e-010	  -5.20684e-009	              0
            6.5	        9316.55	       0.911062	        0.15708	       0.414177	   -1.9865e-008	  -3.29843e-010	  -5.19943e-009	              0
            6.6	        9316.54	       0.911062	        0.15708	       0.414177	  -3.86343e-008	   -4.8034e-010	  -5.18769e-009	              0
            6.7	        9316.54	       0.911062	        0.15708	       0.414177	  -6.41096e-008	  -6.28992e-010	  -5.17178e-009	              0
            6.8	        9316.54	       0.911062	        0.15708	       0.414177	  -9.69535e-008	  -7.75199e-010	  -5.15189e-009	              0
            6.9	        9316.54	       0.911062	        0.15708	       0.414177	  -1.38014e-007	  -9.18352e-010	  -5.12831e-009	              0
              7	        9316.54	       0.911062	        0.15708	       0.414177	  -1.88345e-007	  -1.05782e-009	  -5.10136e-009	              0
            7.1	        9316.54	       0.911062	        0.15708	       0.414176	  -2.49221e-007	  -1.19296e-009	  -5.07146e-009	              0
            7.2	        9316.54	       0.911062	        0.15708	       0.414176	  -3.22164e-007	  -1.32307e-009	  -5.03908e-009	              0
            7.3	        9316.54	       0.911062	        0.15708	       0.414176	  -4.08966e-007	  -1.44745e-009	  -5.00478e-009	              0
            7.4	        9316.54	       0.911062	        0.15708	       0.414176	  -5.11706e-007	  -1.56532e-009	  -4.96917e-009	              0
            7.5	        9316.54	       0.911062	        0.15708	       0.414176	  -6.32775e-007	  -1.67585e-009	  -4.93299e-009	              0
            7.6	        9316.53	       0.911062	        0.15708	       0.414176	  -7.74874e-007	  -1.77813e-009	  -4.89705e-009	              0
            7.7	        9316.53	       0.911062	        0.15708	       0.414176	  -9.41011e-007	  -1.87115e-009	  -4.86227e-009	              0
            7.8	        9316.53	       0.911062	        0.15708	       0.414176	  -1.13446e-006	  -1.95376e-009	  -4.82967e-009	              0
            7.9	        9316.53	       0.911062	        0.15708	       0.414176	  -1.35869e-006	  -2.02467e-009	  -4.80038e-009	              0
              8	        9316.53	       0.911062	        0.15708	       0.414176	  -1.61721e-006	  -2.08239e-009	  -4.77562e-009	              0
            8.1	        9316.52	       0.911062	        0.15708	       0.414176	  -1.91335e-006	  -2.12517e-009	  -4.75674e-009	              0
            8.2	        9316.52	       0.911062	        0.15708	       0.414175	  -2.24991e-006	  -2.15098e-009	  -4.74512e-009	              0
            8.3	        9316.52	       0.911062	        0.15708	       0.414175	  -2.62869e-006	  -2.15741e-009	   -4.7422e-009	              0
            8.4	        9316.51	       0.911062	        0.15708	       0.414176	  -3.04981e-006	  -2.14167e-009	  -4.74933e-009	              0
            8.5	        9316.51	       0.911062	        0.15708	       0.414176	  -3.51089e-006	  -2.10047e-009	   -4.7677e-009	              0
            8.6	         9316.5	       0.911062	        0.15708	       0.414176	  -4.00606e-006	  -2.03011e-009	  -4.79808e-009	              0
            8.7	         9316.5	       0.911062	        0.15708	       0.414176	  -4.52496e-006	  -1.92651e-009	   -4.8406e-009	              0
            8.8	        9316.49	       0.911062	        0.15708	       0.414176	  -5.05186e-006	  -1.78551e-009	  -4.89437e-009	              0
        8.90001	        9316.48	       0.911062	        0.15708	       0.414177	   -5.5653e-006	  -1.60334e-009	  -4.95704e-009	              0
        9.00001	        9316.47	       0.911062	        0.15708	       0.414177	  -6.03862e-006	  -1.37742e-009	   -5.0245e-009	              0
        9.10001	        9316.47	       0.911062	        0.15708	       0.414178	  -6.44181e-006	  -1.10754e-009	   -5.0908e-009	              0
        9.20001	        9316.46	       0.911062	        0.15708	       0.414178	   -6.7449e-006	  -7.97126e-010	  -5.14854e-009	              0
        9.30001	        9316.45	       0.911062	        0.15708	       0.414179	  -6.92253e-006	  -4.54151e-010	  -5.19005e-009	              0
        9.40001	        9316.43	       0.911062	        0.15708	        0.41418	  -6.95864e-006	   -9.1199e-011	  -5.20909e-009	              0
        9.50001	        9316.42	       0.911062	        0.15708	        0.41418	  -6.84986e-006	   2.75899e-010	  -5.20257e-009	              0
        9.60001	        9316.41	       0.911062	        0.15708	       0.414181	  -6.60623e-006	   6.30598e-010	  -5.17158e-009	              0
        9.70001	         9316.4	       0.911062	        0.15708	       0.414181	  -6.24905e-006	    9.5845e-010	  -5.12096e-009	              0
        9.80001	         9316.4	       0.911062	        0.15708	       0.414182	  -5.80663e-006	   1.24911e-009	  -5.05793e-009	              0
        9.90001	        9316.39	       0.911062	        0.15708	       0.414182	  -5.30947e-006	   1.49698e-009	  -4.99018e-009	              0
             10	        9316.38	       0.911062	        0.15708	       0.414183	  -4.78621e-006	   1.70063e-009	   -4.9245e-009	              0
           10.1	        9316.37	       0.911062	        0.15708	       0.414183	  -4.26102e-006	   1.86162e-009	  -4.86593e-009	              0
           10.2	        9316.37	       0.911062	        0.15708	       0.414183	  -3.75249e-006	   1.98324e-009	  -4.81764e-009	              0
           10.3	        9316.36	       0.911062	        0.15708	       0.414183	  -3.27353e-006	   2.06954e-009	   -4.7812e-009	              0
           10.4	        9316.36	       0.911062	        0.15708	       0.414183	  -2.83213e-006	    2.1247e-009	  -4.75695e-009	              0
           10.5	        9316.36	       0.911062	        0.15708	       0.414183	  -2.43226e-006	   2.15262e-009	  -4.74438e-009	              0
           10.6	        9316.35	       0.911062	        0.15708	       0.414183	  -2.07493e-006	   2.15679e-009	  -4.74248e-009	              0
           10.7	        9316.35	       0.911062	        0.15708	       0.414183	  -1.75907e-006	   2.14026e-009	  -4.74997e-009	              0
           10.8	        9316.35	       0.911062	        0.15708	       0.414183	  -1.48232e-006	   2.10561e-009	  -4.76543e-009	              0
           10.9	        9316.34	       0.911062	        0.15708	       0.414183	  -1.24154e-006	   2.05506e-009	  -4.78745e-009	              0
             11	        9316.34	       0.911062	        0.15708	       0.414183	  -1.03329e-006	   1.99048e-009	  -4.81465e-009	              0
           11.1	        9316.34	       0.911062	        0.15708	       0.414183	  -8.54046e-007	   1.91349e-009	  -4.84577e-009	              0
           11.2	        9316.34	       0.911062	        0.15708	       0.414183	  -7.00436e-007	   1.82548e-009	   -4.8796e-009	              0
           11.3	        9316.34	       0.911062	        0.15708	       0.414183	   -5.6931e-007	   1.72765e-009	  -4.91509e-009	              0
           11.4	        9316.34	       0.911062	        0.15708	       0.414183	   -4.5781e-007	   1.62109e-009	  -4.95126e-009	              0
           11.5	        9316.34	       0.911062	        0.15708	       0.414182	  -3.63394e-007	   1.50674e-009	  -4.98725e-009	              0
           11.6	        9316.33	       0.911062	        0.15708	       0.414182	  -2.83828e-007	   1.38549e-009	  -5.02228e-009	              0
           11.7	        9316.33	       0.911062	        0.15708	       0.414182	  -2.17182e-007	   1.25812e-009	  -5.05569e-009	              0
           11.8	        9316.33	       0.911062	        0.15708	       0.414182	  -1.61803e-007	   1.12538e-009	  -5.08689e-009	              0
           11.9	        9316.33	       0.911062	        0.15708	       0.414182	  -1.16296e-007	   9.87976e-010	  -5.11535e-009	              0
             12	        9316.33	       0.911062	        0.15708	       0.414182	  -7.95004e-008	   8.46567e-010	  -5.14064e-009	              0
           12.1	        9316.33	       0.911062	        0.15708	       0.414182	  -5.04691e-008	   7.01795e-010	   -5.1624e-009	              0
           12.2	        9316.33	       0.911062	        0.15708	       0.414182	  -2.84494e-008	   5.54278e-010	  -5.18032e-009	              0
           12.3	        9316.33	       0.911062	        0.15708	       0.414182	  -1.28675e-008	    4.0462e-010	  -5.19415e-009	              0
           12.4	        9316.33	       0.911062	        0.15708	       0.414181	  -3.31573e-009	   2.53414e-010	  -5.20372e-009	              0
           12.5	        9316.33	       0.911062	        0.15708	       0.414181	   4.56345e-010	   1.01244e-010	   -5.2089e-009	              0
