	IST       	p       	i       	omega      	e       	w       	S       	T       	W       	
              0	        9316.77	       0.911062	        0.15708	       0.414174	    0.000758669	  -2.88568e-005	             -0	             -0
      0.0992413	        9316.26	       0.911041	       0.157077	       0.414066	     0.00149608	  -2.81552e-005	  -3.55875e-006	  -2.77431e-006
       0.198504	        9315.25	       0.910999	       0.157067	        0.41386	     0.00216003	  -2.61119e-005	  -6.85519e-006	  -5.42582e-006
        0.29784	        9313.81	       0.910939	       0.157043	       0.413576	     0.00269212	  -2.29111e-005	  -9.65533e-006	   -7.8406e-006
       0.397308	           9312	       0.910864	       0.157003	       0.413239	     0.00304067	  -1.88338e-005	  -1.17786e-005	  -9.92195e-006
       0.496959	        9309.91	       0.910776	       0.156942	       0.412879	     0.00317368	  -1.42237e-005	  -1.31148e-005	  -1.15966e-005
       0.596826	        9307.62	       0.910681	        0.15686	       0.412526	     0.00308818	  -9.44706e-006	  -1.36316e-005	  -1.28191e-005
       0.696912	        9305.25	       0.910582	       0.156754	       0.412209	     0.00281329	  -4.85231e-006	  -1.33725e-005	  -1.35727e-005
       0.797187	        9302.89	       0.910484	       0.156626	       0.411947	      0.0024058	  -7.35473e-007	  -1.24449e-005	  -1.38693e-005
       0.897594	        9300.65	        0.91039	       0.156477	       0.411757	     0.00193938	    2.6853e-006	  -1.10022e-005	  -1.37456e-005
       0.998061	        9298.62	       0.910305	       0.156309	       0.411645	     0.00149001	   5.28271e-006	  -9.22217e-006	  -1.32581e-005
        1.09851	        9296.86	       0.910232	       0.156127	       0.411608	     0.00112141	   7.02061e-006	  -7.28467e-006	  -1.24767e-005
        1.19888	        9295.44	       0.910172	       0.155933	       0.411638	    0.000874004	   7.94311e-006	  -5.35272e-006	  -1.14779e-005
        1.29913	         9294.4	       0.910129	       0.155734	       0.411721	    0.000759749	   8.15577e-006	  -3.55863e-006	  -1.03381e-005
        1.39924	        9293.74	       0.910101	       0.155532	        0.41184	    0.000763606	   7.80297e-006	  -1.99636e-006	  -9.12837e-006
        1.49924	        9293.47	        0.91009	       0.155334	       0.411975	    0.000850511	   7.04523e-006	  -7.19972e-007	  -7.91063e-006
        1.59915	        9293.58	       0.910095	       0.155142	       0.412111	    0.000975572	   6.03955e-006	   2.53027e-007	  -6.73511e-006
        1.69902	        9294.02	       0.910113	       0.154962	       0.412233	     0.00109471	   4.92459e-006	   9.34867e-007	  -5.63941e-006
        1.79891	        9294.76	       0.910144	       0.154795	        0.41233	     0.00117332	   3.81136e-006	   1.35896e-006	  -4.64866e-006
        1.89883	        9295.73	       0.910184	       0.154645	       0.412396	     0.00119127	   2.77947e-006	   1.57105e-006	  -3.77663e-006
        1.99881	        9296.88	       0.910232	       0.154512	       0.412429	     0.00114388	   1.87785e-006	   1.62121e-006	  -3.02735e-006
        2.09886	        9298.14	       0.910285	       0.154398	       0.412429	     0.00103941	    1.1288e-006	   1.55757e-006	  -2.39725e-006
        2.19896	        9299.46	        0.91034	       0.154302	       0.412402	    0.000894243	   5.34056e-007	   1.42201e-006	   -1.8773e-006
        2.29911	        9300.78	       0.910395	       0.154224	       0.412352	    0.000727509	   8.13259e-008	   1.24799e-006	  -1.45508e-006
        2.39927	        9302.04	       0.910448	       0.154162	       0.412287	    0.000556302	  -2.49618e-007	      1.06e-006	  -1.11657e-006
        2.49944	        9303.22	       0.910497	       0.154116	       0.412215	    0.000392534	  -4.82034e-007	   8.74286e-007	   -8.4757e-007
        2.59961	        9304.26	       0.910541	       0.154083	       0.412142	    0.000241727	  -6.38722e-007	   7.00225e-007	  -6.34602e-007
        2.69976	        9305.15	       0.910578	       0.154061	       0.412074	    0.000103577	  -7.39914e-007	   5.41964e-007	  -4.65497e-007
         2.7999	        9305.86	       0.910607	       0.154047	       0.412016	  -2.61764e-005	  -8.02249e-007	   3.99953e-007	  -3.29588e-007
        2.90003	        9306.37	       0.910629	       0.154041	       0.411973	   -0.000153217	   -8.3851e-007	   2.72222e-007	  -2.17677e-007
        3.00015	        9306.67	       0.910641	       0.154039	       0.411946	   -0.000282043	  -8.57788e-007	   1.55332e-007	  -1.21815e-007
        3.10028	        9306.76	       0.910645	       0.154038	       0.411938	   -0.000413785	  -8.65802e-007	   4.50312e-008	  -3.49904e-008
        3.20041	        9306.63	        0.91064	       0.154038	        0.41195	   -0.000544797	  -8.65206e-007	  -6.33215e-008	   4.92435e-008
        3.30054	         9306.3	       0.910626	       0.154035	       0.411979	   -0.000666217	  -8.55746e-007	  -1.74468e-007	   1.37167e-007
        3.40067	        9305.75	       0.910603	       0.154028	       0.412025	   -0.000764618	  -8.34244e-007	  -2.93001e-007	   2.35292e-007
        3.50076	        9305.01	       0.910572	       0.154013	       0.412085	   -0.000823703	  -7.94395e-007	  -4.23051e-007	   3.50751e-007
        3.60082	         9304.1	       0.910534	       0.153989	       0.412154	   -0.000826919	  -7.26465e-007	  -5.67814e-007	   4.91646e-007
        3.70083	        9303.03	       0.910489	       0.153954	       0.412227	    -0.00076064	  -6.17009e-007	   -7.2884e-007	    6.6733e-007
        3.80076	        9301.84	       0.910439	       0.153905	       0.412299	   -0.000617435	  -4.48804e-007	  -9.05027e-007	   8.88584e-007
        3.90062	        9300.56	       0.910386	       0.153841	       0.412362	    -0.00039872	  -2.01272e-007	  -1.09133e-006	   1.16761e-006
         4.0004	        9299.23	       0.910331	        0.15376	       0.412408	   -0.000116109	    1.4832e-007	  -1.27724e-006	   1.51782e-006
        4.10012	        9297.92	       0.910276	       0.153661	       0.412432	    0.000209185	   6.22578e-007	  -1.44528e-006	   1.95324e-006
        4.19979	        9296.67	       0.910224	       0.153544	       0.412426	    0.000549148	   1.24039e-006	  -1.56973e-006	   2.48763e-006
        4.29945	        9295.55	       0.910177	       0.153408	       0.412388	    0.000873777	   2.01202e-006	   -1.6161e-006	    3.1331e-006
        4.39913	        9294.62	       0.910138	       0.153255	       0.412317	     0.00115711	   2.93303e-006	  -1.54174e-006	   3.89832e-006
        4.49884	        9293.93	       0.910109	       0.153086	       0.412216	     0.00138319	   3.97775e-006	  -1.29823e-006	   4.78632e-006
        4.59862	        9293.54	       0.910093	       0.152904	       0.412091	     0.00155054	   5.09321e-006	  -8.35821e-007	   5.79216e-006
        4.69845	         9293.5	       0.910091	       0.152711	       0.411955	     0.00167366	   6.19513e-006	  -1.09991e-007	   6.90056e-006
        4.79833	        9293.83	       0.910105	       0.152512	       0.411821	      0.0017809	   7.16746e-006	   9.10078e-007	   8.08404e-006
        4.89822	        9294.55	       0.910135	        0.15231	       0.411707	     0.00190883	   7.86706e-006	   2.23224e-006	   9.30194e-006
        4.99809	        9295.66	       0.910181	       0.152112	       0.411631	     0.00209423	   8.13449e-006	   3.83271e-006	   1.05007e-005
        5.09791	        9297.14	       0.910243	        0.15192	       0.411611	     0.00236583	   7.81056e-006	   5.64988e-006	   1.16157e-005
        5.19763	        9298.94	       0.910319	        0.15174	       0.411659	     0.00273796	    6.7573e-006	   7.58223e-006	   1.25744e-005
        5.29726	        9301.01	       0.910405	       0.151575	       0.411783	     0.00320812	   4.88057e-006	   9.49182e-006	   1.33013e-005
        5.39679	        9303.28	         0.9105	        0.15143	       0.411984	     0.00375913	   2.15119e-006	   1.12135e-005	    1.3723e-005
        5.49624	        9305.64	       0.910598	       0.151306	       0.412254	     0.00436535	  -1.37909e-006	   1.25696e-005	   1.37741e-005
        5.59563	           9308	       0.910697	       0.151204	       0.412578	     0.00500094	  -5.56958e-006	   1.33884e-005	   1.34032e-005
          5.695	        9310.26	       0.910791	       0.151126	       0.412932	      0.0056476	  -1.01928e-005	   1.35251e-005	   1.25781e-005
        5.79435	        9312.31	       0.910876	       0.151069	        0.41329	     0.00629907	   -1.4948e-005	   1.28821e-005	   1.12905e-005
         5.8937	        9314.06	       0.910949	       0.151032	       0.413621	     0.00696084	  -1.94863e-005	   1.14258e-005	   9.55939e-006
        5.99304	        9315.43	       0.911006	       0.151011	       0.413895	     0.00764492	  -2.34449e-005	   9.19759e-006	   7.43206e-006
        6.09236	        9316.35	       0.911045	       0.151002	       0.414087	     0.00836122	   -2.6487e-005	   6.31607e-006	   4.98318e-006
        6.19164	        9316.78	       0.911062	          0.151	        0.41418	     0.00910825	  -2.83423e-005	   2.96874e-006	   2.31086e-006
        6.29089	        9316.69	       0.911059	          0.151	       0.414165	     0.00986654	  -2.88409e-005	   -6.0576e-007	  -4.69941e-007
        6.39013	         9316.1	       0.911034	       0.150996	       0.414042	      0.0105971	   -2.7935e-005	  -4.14318e-006	  -3.23585e-006
         6.4894	        9315.02	       0.910989	       0.150983	       0.413823	      0.0112462	  -2.57055e-005	  -7.38292e-006	  -5.86441e-006
        6.58875	        9313.51	       0.910926	       0.150957	        0.41353	      0.0117555	  -2.23513e-005	  -1.00967e-005	  -8.24323e-006
        6.68824	        9311.64	       0.910848	       0.150914	       0.413187	      0.0120754	  -1.81644e-005	  -1.21124e-005	  -1.02779e-005
        6.78792	         9309.5	       0.910759	        0.15085	       0.412826	      0.0121775	  -1.34944e-005	  -1.33299e-005	  -1.18982e-005
        6.88782	        9307.19	       0.910663	       0.150763	       0.412475	      0.0120633	  -8.70833e-006	  -1.37275e-005	  -1.30617e-005
        6.98794	        9304.81	       0.910563	       0.150654	       0.412163	      0.0117663	  -4.15028e-006	  -1.33581e-005	  -1.37553e-005
        7.08823	        9302.46	       0.910466	       0.150521	       0.411911	      0.0113463	  -1.07922e-007	  -1.23369e-005	  -1.39936e-005
        7.18865	        9300.25	       0.910373	       0.150369	       0.411731	      0.0108785	   3.21165e-006	  -1.08225e-005	  -1.38163e-005
        7.28912	        9298.25	        0.91029	       0.150198	       0.411629	      0.0104376	   5.69325e-006	  -8.99515e-006	  -1.32819e-005
        7.38956	        9296.54	       0.910218	       0.150013	       0.411602	      0.0100848	   7.31237e-006	  -7.03416e-006	  -1.24615e-005
        7.48992	        9295.18	       0.910161	       0.149817	       0.411641	     0.00985637	   8.12297e-006	  -5.09993e-006	  -1.14322e-005
        7.59014	        9294.19	        0.91012	       0.149616	       0.411731	     0.00976009	   8.23796e-006	  -3.32061e-006	  -1.02703e-005
        7.69024	         9293.6	       0.910095	       0.149414	       0.411853	     0.00977743	   7.80616e-006	  -1.78526e-006	  -9.04641e-006
        7.79022	         9293.4	       0.910087	       0.149216	       0.411991	     0.00987113	   6.98983e-006	  -5.42957e-007	   -7.8213e-006
        7.89013	        9293.56	       0.910094	       0.149025	       0.412127	     0.00999575	   5.94539e-006	   3.93238e-007	  -6.64407e-006
           7.99	        9294.06	       0.910115	       0.148846	       0.412247	      0.0101081	   4.80921e-006	   1.03917e-006	  -5.55102e-006
        8.08989	        9294.84	       0.910147	       0.148682	        0.41234	      0.0101756	   3.68902e-006	   1.43082e-006	  -4.56604e-006
        8.18982	        9295.85	       0.910189	       0.148534	       0.412402	      0.0101804	   2.66071e-006	   1.61548e-006	  -3.70174e-006
        8.28982	        9297.03	       0.910239	       0.148403	       0.412431	      0.0101202	   1.76957e-006	   1.64382e-006	  -2.96117e-006
        8.38988	        9298.31	       0.910292	       0.148292	       0.412427	      0.0100051	   1.03478e-006	   1.56386e-006	  -2.33996e-006
        8.48999	        9299.64	       0.910348	       0.148199	       0.412396	     0.00985217	   4.55612e-007	   1.41686e-006	   -1.8285e-006
        8.59015	        9300.95	       0.910403	       0.148123	       0.412344	     0.00968082	   1.80452e-008	   1.23541e-006	  -1.41398e-006
        8.69032	        9302.21	       0.910455	       0.148064	       0.412278	     0.00950759	  -2.99191e-007	   1.04306e-006	  -1.08219e-006
        8.79049	        9303.37	       0.910504	        0.14802	       0.412205	      0.0093435	  -5.19845e-007	   8.55148e-007	  -8.18836e-007
        8.89066	         9304.4	       0.910546	       0.147989	       0.412132	     0.00919313	  -6.66815e-007	   6.80309e-007	  -6.10456e-007
        8.99081	        9305.26	       0.910582	       0.147968	       0.412065	     0.00905541	  -7.60172e-007	   5.22097e-007	  -4.44954e-007
        9.09094	        9305.93	        0.91061	       0.147956	       0.412009	     0.00892563	  -8.16255e-007	   3.80529e-007	  -3.11759e-007
        9.19107	        9306.41	        0.91063	        0.14795	       0.411968	     0.00879806	  -8.47489e-007	   2.53336e-007	  -2.01766e-007
         9.2912	        9306.68	       0.910641	       0.147949	       0.411944	     0.00866852	  -8.62591e-007	   1.36888e-007	  -1.07109e-007
        9.39133	        9306.73	       0.910644	       0.147949	       0.411939	     0.00853649	  -8.66914e-007	   2.68247e-008	  -2.08318e-008
        9.49146	        9306.57	       0.910637	       0.147948	       0.411953	     0.00840632	  -8.62754e-007	  -8.15419e-008	   6.34846e-008
        9.59159	        9306.19	       0.910621	       0.147944	       0.411984	     0.00828755	  -8.49506e-007	  -1.92944e-007	   1.52124e-007
        9.69171	        9305.62	       0.910597	       0.147936	       0.412033	     0.00819407	  -8.23631e-007	  -3.11909e-007	   2.51632e-007
        9.79181	        9304.85	       0.910565	        0.14792	       0.412094	     0.00814229	  -7.78459e-007	  -4.42432e-007	   3.69202e-007
        9.89186	        9303.91	       0.910526	       0.147894	       0.412164	     0.00814837	  -7.03892e-007	  -5.87486e-007	   5.13015e-007
        9.99185	        9302.82	       0.910481	       0.147857	       0.412237	     0.00822512	   -5.8615e-007	  -7.48282e-007	   6.92515e-007
        10.0918	        9301.61	        0.91043	       0.147806	       0.412308	      0.0083787	  -4.07764e-007	  -9.23245e-007	   9.18564e-007
        10.1916	        9300.33	       0.910376	       0.147739	       0.412369	     0.00860621	  -1.48081e-007	   -1.1067e-006	   1.20342e-006
        10.2914	        9299.01	       0.910321	       0.147656	       0.412412	     0.00889463	   2.15421e-007	  -1.28737e-006	   1.56049e-006
        10.3911	        9297.71	       0.910267	       0.147554	       0.412432	     0.00922169	   7.04713e-007	   -1.4469e-006	   2.00371e-006
        10.4908	        9296.48	       0.910216	       0.147434	       0.412423	     0.00955901	    1.3375e-006	  -1.55866e-006	   2.54662e-006
        10.5904	        9295.39	        0.91017	       0.147296	       0.412381	     0.00987711	   2.12216e-006	  -1.58736e-006	   3.20091e-006
        10.6901	         9294.5	       0.910133	       0.147141	       0.412306	      0.0101515	   3.05167e-006	  -1.48985e-006	   3.97465e-006
        10.7898	        9293.86	       0.910106	        0.14697	       0.412202	      0.0103683	   4.09711e-006	  -1.21775e-006	   4.87005e-006
        10.8896	        9293.53	       0.910092	       0.146786	       0.412075	      0.0105287	   5.20184e-006	  -7.22098e-007	   5.88106e-006
        10.9895	        9293.55	       0.910093	       0.146593	       0.411939	      0.0106494	   6.27784e-006	   3.98088e-008	   6.99116e-006
        11.0894	        9293.94	       0.910109	       0.146394	       0.411808	      0.0107603	    7.2059e-006	   1.09589e-006	   8.17149e-006
        11.1892	        9294.72	       0.910142	       0.146193	       0.411699	      0.0108984	   7.84103e-006	   2.45005e-006	   9.38006e-006
        11.2891	         9295.9	       0.910191	       0.145996	        0.41163	      0.0110993	   8.02391e-006	   4.07378e-006	   1.05621e-005
        11.3889	        9297.43	       0.910255	       0.145807	       0.411619	      0.0113899	   7.59803e-006	   5.90044e-006	   1.16523e-005
        11.4886	        9299.28	       0.910333	       0.145629	       0.411677	      0.0117816	   6.43094e-006	   7.82386e-006	   1.25778e-005
        11.5882	        9301.38	        0.91042	       0.145468	       0.411812	      0.0122693	   4.43672e-006	   9.70254e-006	   1.32633e-005
        11.6877	        9303.66	       0.910516	       0.145327	       0.412023	      0.0128339	   1.59651e-006	   1.13695e-005	   1.36363e-005
        11.7872	        9306.02	       0.910614	       0.145206	       0.412301	       0.013449	  -2.02644e-006	   1.26477e-005	   1.36329e-005
        11.8866	        9308.37	       0.910712	       0.145109	       0.412629	      0.0140894	  -6.27992e-006	   1.33684e-005	   1.32039e-005
        11.9859	         9310.6	       0.910805	       0.145034	       0.412985	      0.0147384	  -1.09264e-005	   1.33926e-005	   1.23195e-005
        12.0853	         9312.6	       0.910889	       0.144981	        0.41334	      0.0153916	  -1.56579e-005	   1.26307e-005	   1.09746e-005
        12.1846	         9314.3	       0.910959	       0.144947	       0.413664	      0.0160561	  -2.01223e-005	   1.10589e-005	   9.19119e-006
        12.2839	        9315.59	       0.911013	       0.144928	       0.413927	      0.0167443	  -2.39587e-005	   8.72883e-006	   7.01978e-006
        12.3833	        9316.43	       0.911048	       0.144921	       0.414107	      0.0174652	  -2.68374e-005	   5.76893e-006	   4.53795e-006
        12.4825	        9316.78	       0.911062	        0.14492	       0.414184	      0.0182154	  -2.85002e-005	   2.37457e-006	   1.84602e-006
        12.5818	         9316.6	       0.911055	       0.144919	       0.414153	      0.0189725	  -2.87924e-005	  -1.21072e-006	  -9.39665e-007
         12.681	        9315.92	       0.911027	       0.144914	       0.414016	      0.0196951	  -2.76838e-005	  -4.72149e-006	  -3.69536e-006
        12.7803	        9314.76	       0.910978	         0.1449	       0.413785	      0.0203282	  -2.52717e-005	   -7.8998e-006	  -6.29929e-006
        12.8797	        9313.19	       0.910913	       0.144871	       0.413482	      0.0208137	  -2.17696e-005	  -1.05235e-005	   -8.6407e-006
        12.9792	        9311.27	       0.910833	       0.144824	       0.413134	      0.0211044	  -1.74798e-005	  -1.24291e-005	  -1.06276e-005
        13.0789	        9309.09	       0.910742	       0.144756	       0.412772	      0.0211756	  -1.27571e-005	  -1.35269e-005	  -1.21927e-005
        13.1788	        9306.75	       0.910645	       0.144666	       0.412425	      0.0210334	  -7.96864e-006	  -1.38055e-005	  -1.32968e-005
         13.279	        9304.37	       0.910545	       0.144552	       0.412119	      0.0207155	  -3.45354e-006	  -1.33273e-005	  -1.39302e-005
        13.3793	        9302.03	       0.910448	       0.144416	       0.411875	      0.0202847	   5.09356e-007	   -1.2215e-005	  -1.41106e-005
        13.4797	        9299.84	       0.910356	        0.14426	       0.411705	      0.0198169	   3.72427e-006	  -1.06322e-005	  -1.38803e-005
        13.5802	        9297.88	       0.910274	       0.144086	       0.411614	      0.0193858	   6.08822e-006	  -8.76078e-006	  -1.32996e-005
        13.6806	        9296.23	       0.910205	       0.143898	       0.411598	      0.0190494	   7.58819e-006	  -6.77948e-006	  -1.24411e-005
         13.781	        9294.92	        0.91015	       0.143701	       0.411645	        0.01884	   8.28778e-006	   -4.8458e-006	  -1.13823e-005
        13.8812	           9294	       0.910112	       0.143499	       0.411741	      0.0187612	   8.30687e-006	  -3.08353e-006	  -1.01994e-005
        13.9812	        9293.47	        0.91009	       0.143296	       0.411868	       0.018791	   7.79839e-006	  -1.57675e-006	  -8.96209e-006
        14.0812	        9293.33	       0.910084	       0.143098	       0.412007	      0.0188903	   6.92599e-006	  -3.69577e-007	   -7.7304e-006
        14.1811	        9293.55	       0.910093	       0.142909	       0.412142	      0.0190133	   5.84525e-006	   5.29326e-007	  -6.55209e-006
         14.281	        9294.11	       0.910116	       0.142731	        0.41226	       0.019118	   4.69007e-006	    1.1393e-006	  -5.46221e-006
        14.3809	        9294.93	       0.910151	       0.142568	        0.41235	      0.0191738	   3.56475e-006	    1.4988e-006	  -4.48339e-006
        14.4808	        9295.98	       0.910195	       0.142423	       0.412408	      0.0191654	   2.54141e-006	   1.65652e-006	  -3.62709e-006
        14.5808	        9297.18	       0.910245	       0.142295	       0.412432	      0.0190926	   1.66174e-006	   1.66363e-006	   -2.8954e-006
        14.6809	        9298.48	       0.910299	       0.142186	       0.412424	      0.0189671	   9.41833e-007	   1.56793e-006	  -2.28317e-006
         14.781	        9299.82	       0.910355	       0.142096	        0.41239	       0.018807	   3.78559e-007	   1.41004e-006	  -1.78022e-006
        14.8812	        9301.13	        0.91041	       0.142023	       0.412335	      0.0186316	  -4.37362e-008	   1.22163e-006	   -1.3734e-006
        14.9814	        9302.38	       0.910462	       0.141966	       0.412268	      0.0184567	  -3.47294e-007	   1.02528e-006	  -1.04827e-006
        15.0815	        9303.52	        0.91051	       0.141924	       0.412194	      0.0182925	  -5.56296e-007	   8.35453e-007	  -7.90492e-007
