	IST       	p       	i       	omega      	e       	w       	S       	T       	W       	
              0	        9316.77	       0.911062	        0.15708	       0.414174	     0.00075867	  -2.88568e-005	  -5.20988e-009	              0
      0.0992413	        9316.25	       0.911041	       0.157077	       0.414066	     0.00149265	  -2.81553e-005	  -3.56396e-006	  -2.77431e-006
       0.198507	        9315.25	       0.910999	       0.157067	        0.41386	     0.00215508	  -2.61122e-005	  -6.86039e-006	  -5.42581e-006
       0.297845	        9313.81	       0.910939	       0.157043	       0.413575	     0.00270699	  -2.29115e-005	   -9.6605e-006	  -7.84059e-006
       0.397293	           9312	       0.910864	       0.157003	       0.413238	     0.00312143	  -1.88345e-005	  -1.17838e-005	  -9.92201e-006
       0.496879	         9309.9	       0.910776	       0.156942	       0.412878	     0.00338608	  -1.42251e-005	  -1.31205e-005	  -1.15972e-005
       0.596614	        9307.61	       0.910681	        0.15686	       0.412526	     0.00350403	  -9.44934e-006	  -1.36388e-005	  -1.28209e-005
       0.696496	        9305.24	       0.910582	       0.156754	       0.412207	     0.00349256	  -4.85497e-006	  -1.33821e-005	  -1.35772e-005
       0.796507	        9302.88	       0.910484	       0.156626	       0.411946	      0.0033804	  -7.37093e-007	  -1.24577e-005	  -1.38779e-005
        0.89662	        9300.64	        0.91039	       0.156477	       0.411755	      0.0032036	   2.68669e-006	  -1.10183e-005	  -1.37593e-005
       0.996796	        9298.61	       0.910305	       0.156309	       0.411642	     0.00300088	   5.28886e-006	  -9.24039e-006	  -1.32771e-005
          1.097	        9296.85	       0.910232	       0.156127	       0.411605	     0.00280903	   7.03219e-006	  -7.30325e-006	     -1.25e-005
        1.19719	        9295.43	       0.910172	       0.155933	       0.411635	     0.00265891	   7.95937e-006	  -5.36973e-006	  -1.15038e-005
        1.29734	        9294.38	       0.910128	       0.155733	       0.411718	     0.00257266	   8.17485e-006	  -3.57263e-006	  -1.03645e-005
        1.39743	        9293.72	       0.910101	       0.155532	       0.411836	     0.00256221	   7.82263e-006	  -2.00674e-006	  -9.15354e-006
        1.49744	        9293.45	        0.91009	       0.155333	       0.411972	     0.00262929	   7.06359e-006	  -7.26886e-007	  -7.93343e-006
        1.59737	        9293.56	       0.910094	       0.155142	       0.412108	     0.00276655	   6.05553e-006	   2.48971e-007	  -6.75517e-006
        1.69723	           9294	       0.910113	       0.154961	        0.41223	     0.00295969	   4.93782e-006	   9.32987e-007	  -5.65693e-006
        1.79704	        9294.73	       0.910144	       0.154794	       0.412328	     0.00318996	   3.82191e-006	   1.35871e-006	  -4.66411e-006
        1.89681	         9295.7	       0.910184	       0.154644	       0.412394	     0.00343685	   2.78749e-006	   1.57204e-006	  -3.79042e-006
        1.99656	        9296.84	       0.910232	       0.154511	       0.412427	     0.00368042	   1.88338e-006	    1.6231e-006	  -3.03974e-006
        2.09632	         9298.1	       0.910285	       0.154396	       0.412427	     0.00390325	   1.13185e-006	   1.55997e-006	  -2.40827e-006
         2.1961	        9299.42	        0.91034	         0.1543	         0.4124	     0.00409164	   5.34668e-007	   1.42447e-006	  -1.88684e-006
        2.29591	        9300.74	       0.910395	       0.154222	       0.412351	     0.00423624	   7.97334e-008	   1.25002e-006	  -1.46303e-006
        2.39576	           9302	       0.910448	       0.154161	       0.412286	     0.00433213	  -2.52973e-007	   1.06117e-006	   -1.1229e-006
        2.49567	        9303.17	       0.910497	       0.154114	       0.412214	     0.00437839	  -4.86548e-007	    8.7431e-007	   -8.5233e-007
        2.59562	        9304.21	       0.910541	       0.154081	       0.412141	     0.00437749	  -6.43737e-007	   6.98984e-007	  -6.37961e-007
        2.69562	        9305.09	       0.910578	       0.154059	       0.412074	     0.00433453	   -7.4481e-007	   5.39498e-007	  -4.67685e-007
        2.79567	        9305.79	       0.910608	       0.154046	       0.412016	     0.00425649	  -8.06517e-007	   3.96424e-007	  -3.30866e-007
        2.89574	        9306.29	       0.910629	       0.154039	       0.411973	     0.00415158	  -8.41775e-007	   2.67865e-007	  -2.18302e-007
        2.99585	        9306.58	       0.910642	       0.154037	       0.411947	     0.00402876	  -8.59808e-007	    1.5042e-007	  -1.22027e-007
        3.09597	        9306.66	       0.910645	       0.154036	        0.41194	     0.00389735	   -8.6645e-007	    3.9849e-008	  -3.50098e-008
         3.1961	        9306.52	        0.91064	       0.154036	       0.411951	     0.00376683	  -8.64445e-007	  -6.84865e-008	   4.92114e-008
        3.29623	        9306.18	       0.910626	       0.154033	       0.411981	     0.00364665	  -8.53622e-007	  -1.79328e-007	   1.36915e-007
        3.39635	        9305.62	       0.910603	       0.154026	       0.412028	     0.00354602	  -8.30887e-007	  -2.97267e-007	   2.34595e-007
        3.49645	        9304.88	       0.910573	       0.154011	       0.412088	     0.00347374	  -7.90036e-007	  -4.26434e-007	   3.49349e-007
        3.59653	        9303.95	       0.910534	       0.153987	       0.412157	     0.00343774	  -7.21461e-007	  -5.70036e-007	   4.89233e-007
        3.69656	        9302.88	        0.91049	       0.153952	       0.412231	     0.00344469	  -6.11867e-007	  -7.29659e-007	   6.63555e-007
        3.79656	        9301.68	        0.91044	       0.153903	       0.412303	     0.00349925	   -4.4419e-007	   -9.0428e-007	   8.83057e-007
         3.8965	         9300.4	       0.910387	       0.153839	       0.412366	     0.00360338	  -1.97995e-007	  -1.08897e-006	   1.15992e-006
         3.9964	        9299.07	       0.910332	       0.153758	       0.412413	     0.00375559	   1.49365e-007	   -1.2734e-006	   1.50756e-006
        4.09624	        9297.76	       0.910277	        0.15366	       0.412437	     0.00395033	   6.20474e-007	  -1.44027e-006	   1.94002e-006
        4.19605	        9296.51	       0.910225	       0.153543	       0.412432	     0.00417764	   1.23428e-006	  -1.56403e-006	   2.47106e-006
        4.29582	        9295.39	       0.910178	       0.153407	       0.412394	     0.00442329	   2.00112e-006	  -1.61036e-006	   3.11277e-006
        4.39558	        9294.45	       0.910139	       0.153254	       0.412324	      0.0046695	    2.9167e-006	  -1.53678e-006	   3.87376e-006
        4.49533	        9293.76	        0.91011	       0.153086	       0.412223	     0.00489621	   3.95552e-006	  -1.29506e-006	   4.75702e-006
         4.5951	        9293.37	       0.910094	       0.152903	       0.412099	      0.0050831	   5.06496e-006	  -8.35632e-007	   5.75767e-006
        4.69492	        9293.32	       0.910092	       0.152711	       0.411963	     0.00521194	   6.16141e-006	  -1.14169e-007	   6.86074e-006
        4.79479	        9293.65	       0.910106	       0.152512	       0.411829	     0.00526931	   7.12982e-006	   9.00211e-007	   8.03939e-006
        4.89473	        9294.37	       0.910136	       0.152311	       0.411715	     0.00524905	   7.82834e-006	   2.21585e-006	   9.25394e-006
        4.99475	        9295.48	       0.910183	       0.152113	       0.411639	     0.00515423	   8.09853e-006	   3.81003e-006	    1.0452e-005
        5.09485	        9296.95	       0.910244	       0.151921	       0.411618	     0.00499822	   7.78137e-006	   5.62261e-006	   1.15698e-005
          5.195	        9298.76	        0.91032	       0.151741	       0.411665	     0.00480439	   6.73774e-006	   7.55356e-006	   1.25351e-005
         5.2952	        9300.83	       0.910406	       0.151577	       0.411788	     0.00460453	   4.87117e-006	   9.46574e-006	   1.32718e-005
         5.3954	        9303.09	         0.9105	       0.151431	       0.411989	     0.00443584	   2.14966e-006	   1.11936e-005	   1.37048e-005
        5.49556	        9305.45	       0.910599	       0.151307	       0.412259	     0.00433686	   -1.3772e-006	    1.2558e-005	   1.37669e-005
        5.59566	        9307.81	       0.910697	       0.151206	       0.412582	     0.00434284	  -5.56919e-006	   1.33848e-005	   1.34047e-005
        5.69566	        9310.06	       0.910792	       0.151127	       0.412937	     0.00448109	  -1.01974e-005	   1.35273e-005	   1.25849e-005
        5.79552	        9312.12	       0.910877	        0.15107	       0.413295	     0.00476708	  -1.49586e-005	   1.28867e-005	   1.12991e-005
        5.89523	        9313.87	        0.91095	       0.151033	       0.413625	     0.00520183	  -1.95011e-005	   1.14296e-005	   9.56694e-006
         5.9948	        9315.24	       0.911007	       0.151012	       0.413899	     0.00577099	  -2.34606e-005	   9.19875e-006	   7.43718e-006
        6.09423	        9316.16	       0.911046	       0.151003	       0.414091	     0.00644586	  -2.65002e-005	    6.3141e-006	   4.98572e-006
        6.19355	        9316.58	       0.911063	       0.151001	       0.414183	     0.00718615	  -2.83506e-005	   2.96441e-006	   2.31155e-006
        6.29281	         9316.5	        0.91106	       0.151001	       0.414166	     0.00794435	   -2.8843e-005	  -6.11014e-007	  -4.69975e-007
        6.39206	         9315.9	       0.911035	       0.150997	       0.414043	     0.00867092	  -2.79309e-005	  -4.14775e-006	  -3.23535e-006
        6.49133	        9314.82	        0.91099	       0.150985	       0.413824	     0.00931978	  -2.56961e-005	  -7.38533e-006	  -5.86218e-006
        6.59068	        9313.31	       0.910927	       0.150959	        0.41353	      0.0098534	  -2.23383e-005	  -1.00958e-005	  -8.23826e-006
        6.69015	        9311.44	       0.910849	       0.150915	       0.413187	      0.0102467	  -1.81502e-005	  -1.21077e-005	  -1.02696e-005
        6.78975	         9309.3	        0.91076	       0.150851	       0.412826	      0.0104896	  -1.34818e-005	  -1.33219e-005	  -1.18865e-005
        6.88951	        9306.99	       0.910664	       0.150764	       0.412476	      0.0105872	  -8.69964e-006	  -1.37176e-005	  -1.30474e-005
        6.98941	        9304.61	       0.910565	       0.150655	       0.412164	      0.0105587	  -4.14667e-006	  -1.33483e-005	  -1.37399e-005
        7.08944	        9302.26	       0.910467	       0.150523	       0.411911	       0.010434	  -1.08953e-007	  -1.23292e-005	  -1.39792e-005
        7.18957	        9300.05	       0.910374	        0.15037	       0.411731	        0.01025	   3.20763e-006	  -1.08183e-005	  -1.38045e-005
        7.28975	        9298.05	       0.910291	       0.150199	        0.41163	      0.0100455	   5.68828e-006	  -8.99452e-006	  -1.32735e-005
        7.38995	        9296.34	       0.910219	       0.150014	       0.411603	     0.00985671	   7.30793e-006	  -7.03633e-006	  -1.24565e-005
        7.49014	        9294.97	       0.910162	       0.149819	       0.411642	     0.00971348	   8.11958e-006	  -5.10376e-006	  -1.14297e-005
        7.59029	        9293.99	       0.910121	       0.149618	       0.411731	     0.00963665	   8.23527e-006	  -3.32513e-006	  -1.02691e-005
        7.69036	        9293.39	       0.910096	       0.149416	       0.411854	     0.00963671	   7.80356e-006	  -1.78995e-006	   -9.0455e-006
        7.79036	        9293.19	       0.910088	       0.149218	       0.411992	     0.00971401	   6.98697e-006	   -5.4772e-007	  -7.82023e-006
        7.89029	        9293.35	       0.910095	       0.149027	       0.412127	     0.00986008	   5.94237e-006	   3.88364e-007	  -6.64291e-006
        7.99014	        9293.85	       0.910116	       0.148848	       0.412247	      0.0100598	   4.80646e-006	   1.03424e-006	  -5.55021e-006
        8.08994	        9294.63	       0.910148	       0.148683	       0.412341	      0.0102938	   3.68694e-006	   1.42607e-006	  -4.56606e-006
        8.18971	        9295.63	       0.910191	       0.148535	       0.412403	      0.0105416	   2.65939e-006	   1.61122e-006	  -3.70287e-006
        8.28946	         9296.8	        0.91024	       0.148405	       0.412431	      0.0107834	   1.76875e-006	   1.64031e-006	  -2.96338e-006
        8.38922	        9298.08	       0.910293	       0.148293	       0.412427	      0.0110022	   1.03398e-006	   1.56112e-006	  -2.34297e-006
          8.489	        9299.41	       0.910349	         0.1482	       0.412397	      0.0111849	   4.54363e-007	   1.41472e-006	  -1.83188e-006
        8.58882	        9300.72	       0.910404	       0.148124	       0.412345	      0.0113226	   1.60621e-008	   1.23352e-006	  -1.41731e-006
        8.68868	        9301.98	       0.910456	       0.148065	       0.412279	      0.0114112	   -3.0193e-007	   1.04106e-006	  -1.08513e-006
        8.78859	        9303.13	       0.910505	       0.148021	       0.412206	      0.0114501	  -5.23138e-007	   8.52728e-007	  -8.21201e-007
        8.88855	        9304.15	       0.910548	        0.14799	       0.412133	      0.0114424	  -6.70327e-007	   6.77293e-007	  -6.12193e-007
        8.98856	           9305	       0.910584	       0.147969	       0.412067	      0.0113936	  -7.63541e-007	   5.18434e-007	  -4.46109e-007
        9.08861	        9305.67	       0.910612	       0.147957	       0.412011	      0.0113108	  -8.19162e-007	   3.76272e-007	  -3.12437e-007
        9.18869	        9306.13	       0.910632	       0.147952	       0.411971	      0.0112024	  -8.49695e-007	   2.48604e-007	  -2.02094e-007
         9.2888	        9306.39	       0.910643	        0.14795	       0.411947	      0.0110776	  -8.63942e-007	   1.31839e-007	  -1.07216e-007
        9.38892	        9306.43	       0.910645	        0.14795	       0.411943	      0.0109457	  -8.67334e-007	   2.16254e-008	  -2.08387e-008
        9.48905	        9306.26	       0.910638	       0.147949	       0.411957	      0.0108162	  -8.62227e-007	   -8.6719e-008	   6.34629e-008
        9.58918	        9305.88	       0.910623	       0.147946	       0.411989	      0.0106985	  -8.48069e-007	  -1.97928e-007	   1.51972e-007
         9.6893	        9305.29	       0.910599	       0.147937	       0.412038	      0.0106017	  -8.21374e-007	  -3.16531e-007	   2.51223e-007
         9.7894	        9304.52	       0.910567	       0.147921	       0.412099	      0.0105345	  -7.75537e-007	  -4.46529e-007	    3.6839e-007
        9.88947	        9303.57	       0.910527	       0.147896	        0.41217	      0.0105047	  -7.00536e-007	  -5.90908e-007	   5.11635e-007
         9.9895	        9302.47	       0.910482	       0.147858	       0.412244	      0.0105186	  -5.82676e-007	  -7.50918e-007	   6.90386e-007
        10.0895	        9301.26	       0.910432	       0.147807	       0.412315	      0.0105805	  -4.04568e-007	  -9.25047e-007	   9.15504e-007
        10.1894	        9299.97	       0.910378	       0.147741	       0.412376	      0.0106919	  -1.45605e-007	  -1.10771e-006	   1.19927e-006
        10.2893	        9298.65	       0.910323	       0.147657	        0.41242	      0.0108507	   2.16737e-007	  -1.28774e-006	   1.55512e-006
        10.3891	        9297.34	       0.910269	       0.147556	        0.41244	      0.0110507	   7.04486e-007	  -1.44686e-006	   1.99704e-006
        10.4889	        9296.12	       0.910218	       0.147436	       0.412431	      0.0112814	   1.33543e-006	   -1.5585e-006	   2.53858e-006
        10.5887	        9295.02	       0.910172	       0.147298	       0.412389	      0.0115281	   2.11802e-006	  -1.58739e-006	    3.1914e-006
        10.6885	        9294.13	       0.910135	       0.147143	       0.412314	      0.0117726	   3.04524e-006	  -1.49041e-006	   3.96347e-006
        10.7882	        9293.49	       0.910108	       0.146972	        0.41221	      0.0119948	   4.08817e-006	  -1.21923e-006	   4.85688e-006
         10.888	        9293.15	       0.910094	       0.146788	       0.412084	      0.0121745	   5.19025e-006	  -7.24991e-007	    5.8656e-006
        10.9878	        9293.17	       0.910095	       0.146595	       0.411948	      0.0122941	   6.26382e-006	   3.48925e-008	   6.97328e-006
        11.0877	        9293.56	       0.910111	       0.146396	       0.411816	      0.0123411	   7.19035e-006	   1.08839e-006	   8.15162e-006
        11.1877	        9294.34	       0.910144	       0.146196	       0.411707	      0.0123105	   7.82569e-006	    2.4398e-006	   9.35944e-006
        11.2877	        9295.51	       0.910193	       0.145999	       0.411639	      0.0122069	   8.01113e-006	   4.06149e-006	    1.0543e-005
        11.3878	        9297.04	       0.910257	       0.145809	       0.411627	      0.0120449	      7.59e-006	   5.88796e-006	   1.16374e-005
         11.488	        9298.89	       0.910334	       0.145632	       0.411685	      0.0118493	   6.42855e-006	   7.81407e-006	   1.25701e-005
        11.5882	        9300.99	       0.910422	       0.145471	        0.41182	      0.0116527	   4.43864e-006	   9.69857e-006	   1.32647e-005
        11.6883	        9303.27	       0.910517	       0.145329	        0.41203	      0.0114926	   1.59911e-006	   1.13736e-005	   1.36472e-005
        11.7885	        9305.64	       0.910616	       0.145209	       0.412309	      0.0114074	  -2.02806e-006	   1.26601e-005	   1.36518e-005
        11.8886	        9307.98	       0.910714	       0.145111	       0.412638	      0.0114315	  -6.29011e-006	   1.33872e-005	   1.32275e-005
        11.9886	        9310.21	       0.910807	       0.145037	       0.412994	      0.0115906	   -1.0947e-005	    1.3414e-005	   1.23438e-005
        12.0884	        9312.22	        0.91089	       0.144983	       0.413349	      0.0118983	  -1.56876e-005	   1.26502e-005	    1.0996e-005
        12.1881	        9313.91	       0.910961	       0.144949	       0.413672	      0.0123535	  -2.01567e-005	    1.1073e-005	   9.20717e-006
        12.2876	        9315.21	       0.911015	        0.14493	       0.413935	      0.0129398	  -2.39919e-005	   8.73593e-006	   7.02964e-006
        12.3871	        9316.05	        0.91105	       0.144923	       0.414113	      0.0136266	  -2.68638e-005	   5.76949e-006	   4.54246e-006
        12.4864	        9316.39	       0.911064	       0.144922	        0.41419	      0.0143724	  -2.85158e-005	   2.37068e-006	   1.84704e-006
